combo,size,method,weight_tag,fold_year,num_days,mean_return,cumulative_return,sharpe,ic,rank_ic,positive_years
itransformer+patchtst,2,zscore_mean,equal,-1,2340,0.012791428007986256,-0.6542331257944678,0.6966448448785284,0.0004922730581087074,-0.03179132534882037,8.0
itransformer+timesnet+tsmixer+wpmixer,4,mean,equal,-1,2340,0.012787144299391547,-0.7472129770587872,0.6984828748763583,0.0025577437768037107,-0.028899840121265136,7.0
itransformer+timesnet,2,zscore_mean,equal,-1,2340,0.012764434067732413,0.33357170262670044,0.7013179954974208,0.0037923122416949817,-0.026242590802648097,7.0
itransformer+timesnet+tsmixer,3,mean,equal,-1,2340,0.012689483857498386,-0.07259303526253358,0.6963368542279835,0.004130010374575081,-0.025506996612186993,8.0
itransformer+tsmixer,2,mean,equal,-1,2340,0.012681058642947008,1.6593335733263546,0.699862002001074,0.002367934352439541,-0.027901957914202646,9.0
dlinear+itransformer+patchtst+wpmixer,4,mean,equal,-1,2340,0.01264208701515962,-0.8237543164559455,0.686992545131235,0.0003077752446239996,-0.03212548238191093,8.0
itransformer+timesnet,2,weighted_rank,"{""dominant"": ""itransformer"", ""weights"": [0.6, 0.4]}",-1,2340,0.012631092964055846,0.6979859670328272,0.6951550899232557,0.002324654643913434,-0.027133639426734347,6.0
tsmixer+wpmixer,2,top1_gap,selector,-1,2340,0.012627225076086964,-0.6360201639563664,0.7069467198928212,0.002901253424137972,-0.02429620425077676,9.0
patchtst+wpmixer,2,weighted_rank,"{""dominant"": ""wpmixer"", ""weights"": [0.4, 0.6]}",-1,2340,0.012611889469627527,-0.7922268998752959,0.7045955675339006,-0.0012455097430110805,-0.03247544436764406,9.0
timemixer+tsmixer+wpmixer,3,zscore_mean,equal,-1,2340,0.012581575041859866,15.641358475314167,0.8883548371493691,0.0033232453726487715,-0.02464530240544657,9.0
itransformer+patchtst+tsmixer,3,mean,equal,-1,2340,0.012579134571737175,-0.8143475496127309,0.684611985279279,0.0008644486593107806,-0.031163711468906712,8.0
itransformer+patchtst+timesnet+wpmixer,4,weighted_rank,"{""dominant"": ""patchtst"", ""weights"": [0.2, 0.4, 0.2, 0.2]}",-1,2340,0.012578629161713319,-0.48456306025923146,0.685824514585592,0.0002484716596452089,-0.031200079826097876,8.0
patchtst+tsmixer+wpmixer,3,mean,equal,-1,2340,0.012562931837577394,-0.8174867579622542,0.70172493835025,-4.973524563605987e-05,-0.03189953637067728,9.0
itransformer+wpmixer,2,weighted_rank,"{""dominant"": ""wpmixer"", ""weights"": [0.4, 0.6]}",-1,2340,0.012556349046192706,0.6364895285003807,0.692447860578787,-0.00046871048338254054,-0.031920515098938895,8.0
patchtst+timemixer+tsmixer+wpmixer,4,mean,equal,-1,2340,0.012554496905290983,-0.8553169294914982,0.7003710966587128,-0.000656820957353119,-0.033467246409494236,9.0
itransformer+wpmixer,2,zscore_mean,equal,-1,2340,0.012530441433532177,-0.540777545787825,0.6894431761350154,0.000560002200505599,-0.03170290892112209,8.0
timemixer+wpmixer,2,weighted_rank,"{""dominant"": ""timemixer"", ""weights"": [0.6, 0.4]}",-1,2340,0.012528418294045982,-0.9908362328092192,0.637562163416617,-0.0015505879541627373,-0.03415498283823453,7.0
dlinear+itransformer,2,mean,equal,-1,2340,0.01251877713628659,0.9622280753567589,0.6915982019923098,0.0016522906857991385,-0.028927999399519337,8.0
itransformer+timemixer+timesnet+wpmixer,4,zscore_mean,equal,-1,2340,0.01250437235988634,-0.9145778531309493,0.6785672398085209,0.001192270344721463,-0.03136032505540785,8.0
itransformer+patchtst+timemixer,3,mean,equal,-1,2340,0.012483747657410425,-0.8614393680251954,0.6786842842785015,-0.00046189043417429305,-0.03327677406534583,7.0
dlinear+wpmixer,2,top1_gap,selector,-1,2340,0.012466281736767296,-0.6304430836746869,0.7014782928996266,-0.001255861750444864,-0.03177979779075801,9.0
dlinear+itransformer+tsmixer+wpmixer,4,mean,equal,-1,2340,0.012424895899605083,-0.22280572017395694,0.6841448675493293,0.0010179753909869652,-0.03087321831504822,8.0
